Dec,Freq
10.88,1.246
11.326,1.255
11.771,1.246
12.065,1.221
12.432,1.179
12.651,1.145
12.869,1.103
13.013,1.061
13.232,1.018
13.376,0.976
13.52,0.934
13.665,0.9
13.811,0.875
13.955,0.833
14.1,0.799
14.39,0.732
14.532,0.664
14.677,0.631
14.896,0.597
15.114,0.551
15.26,0.521
15.404,0.483
15.697,0.445
15.917,0.416
16.137,0.395
16.434,0.395
16.881,0.411
17.18,0.437
17.48,0.466
17.779,0.496
18.078,0.517
18.525,0.538
18.75,0.563
18.976,0.592
19.201,0.613
19.573,0.63
20.019,0.639
20.465,0.647
20.987,0.672
21.36,0.693
21.804,0.681
22.768,0.685
23.212,0.668
23.879,0.664
24.619,0.647
25.06,0.605
25.354,0.571
25.647,0.537
26.014,0.499
26.233,0.461
26.672,0.402
27.114,0.368
27.707,0.36
28.153,0.377
28.749,0.402
29.124,0.436
29.497,0.461
29.943,0.465
30.39,0.486
30.766,0.537
31.142,0.591
31.367,0.621
31.594,0.659
32.042,0.688
32.414,0.701
32.786,0.713
33.23,0.705
33.528,0.709
33.751,0.718
34.122,0.722
34.42,0.73
34.867,0.755
35.315,0.781
35.614,0.806
35.914,0.84
36.214,0.873
36.74,0.932
37.115,0.983
37.416,1.025
37.72,1.092
38.021,1.143
38.326,1.219
38.628,1.278
39.08,1.345
39.53,1.395
39.977,1.412
40.569,1.395
41.01,1.353
41.301,1.294
41.59,1.218
41.882,1.168
42.025,1.117
42.242,1.058
42.384,0.999
42.673,0.923
42.89,0.864
43.108,0.814
43.694,0.746
44.135,0.696
44.574,0.637
44.941,0.603
45.386,0.594
45.686,0.628
45.987,0.679
46.14,0.721
46.292,0.763
46.448,0.83
46.675,0.881
46.903,0.931
47.054,0.965
47.207,1.007
47.359,1.049
47.586,1.087
48.108,1.117
48.551,1.091
48.844,1.062
49.139,1.036
49.586,1.058
49.812,1.091
50.038,1.133
50.192,1.184
50.343,1.218
50.495,1.251
50.648,1.302
50.874,1.331
51.025,1.361
51.324,1.386
51.844,1.386
52.063,1.356
52.21,1.335
52.356,1.31
52.725,1.297
53.098,1.314
53.471,1.335
53.916,1.335
54.21,1.306
54.43,1.28
54.724,1.259
55.094,1.251
55.539,1.247
55.76,1.234
56.281,1.242
56.432,1.276
56.583,1.301
56.809,1.335
56.961,1.369
57.038,1.402
57.042,1.436
57.193,1.47
57.345,1.503
57.497,1.537
57.725,1.596
58.027,1.647
58.329,1.697
58.852,1.744
59.3,1.765
59.894,1.773
60.336,1.739
60.627,1.689
60.844,1.63
61.062,1.587
61.352,1.512
61.641,1.436
62.007,1.385
62.589,1.276
62.806,1.217
63.095,1.132
63.456,1.031
63.816,0.921
64.102,0.82
64.462,0.702
64.676,0.618
64.889,0.525
65.392,0.357
65.607,0.281
66.184,0.121
66.551,0.079
67.285,-0.006
